Año,Física,Química,Fisiología o Medicina,Literatura,Paz,Premio en Ciencias Económicas en memoria de Alfred Nobel
2011,Saul Perlmutter; Adam G. Riess; Brian Schmidt,Dan Shechtman,Bruce Beutler; Jules A. Hoffmann; Ralph Steinman,Tomas Tranströmer,Ellen Johnson Sirleaf; Leymah Gbowee; Tawakel Karman,Thomas Sargent; Christopher A. Sims
2012,Serge Haroche; David J. Wineland,Brian K. Kobilka; Robert J. Lefkowitz,John B. Gurdon; Shinya Yamanaka,Mo Yan,Unión Europea,Alvin Roth; Lloyd S. Shapley
2013,François Englert; Peter W. Higgs,Martin Karplus; Michael Levitt; Arieh Warshel,James E. Rothman; Randy Schekman; Thomas Südhof,Alice Munro,Organización para la Prohibición de Armas Químicas,Eugene F. Fama; Lars Peter Hansen; Robert J. Shiller
2014,Isamu Akasaki; Hiroshi Amano; Shuji Nakamura,William Moerner; Eric Betzig; Stefan Hell,John O'Keefe; May-Britt Moser; Edvard Moser,Patrick Modiano,Malala Yousafzai; Kailash Satyarthi,Jean Tirole
2015,Takaaki Kajita; Arthur B. McDonald,Tomas Lindahl; Paul Modrich; Aziz Sancar,William C. Campbell; Satoshi Ōmura; Tu Youyou,Svetlana Alexievich,Cuarteto para el Diálogo Nacional Tunecino,Angus Deaton
2016,David Thouless; Duncan Haldane; John Michael Kosterlitz,Jean-Pierre Sauvage; Fraser Stoddart; Bernard Feringa,Yoshinori Ohsumi,Bob Dylan,Juan Manuel Santos,Oliver Hart; Bengt Holmström
2017,Rainer Weiss; Barry C. Barish; Kip Thorne,Jacques Dubochet; Richard Henderson; Joachim Frank,Jeffrey C. Hall; Michael Rosbash; Michael W. Young,Kazuo Ishiguro,Campaña Internacional para Abolir las Armas Nucleares,Richard Thaler
2018,Arthur Ashkin; Gérard Mourou; Donna Strickland,Frances H. Arnold; George P. Smith; Gregory P. Winter,James P. Allison; Tasuku Honjo,Olga Tokarczuk otorgado en el año 2019,Denis Mukwege; Nadia Murad,William D. Nordhaus
2019,James Peebles; Michel Mayor; Didier Queloz,John B. Goodenough; Stanley Whittingham; Akira Yoshino,William Kaelin Jr.; Peter Ratcliffe; Gregg L. Semenza,Olga Tokarczuk; Peter Handke,Abiy Ahmed Ali,Esther Duflo; Abhijit Banerjee; Michael Kremer
2020,Roger Penrose; Reinhard Genzel; Andrea M. Ghez,Emmanuelle Charpentier; Jennifer Doudna,Harvey J. Alter; Michael Houghton; Charles M. Rice,Louise Glück,Programa Mundial de Alimentos,Paul R. Milgrom; Robert B. Wilson
2021,Syukuro Manabe; Klaus Hasselmann; Giorgio Parisi,Benjamin List; David MacMillan,David Julius; Ardem Patapoutian,Abdulrazak Gurnah,María Ressa; Dmitri Murátov,David Card; Joshua Angrist; Guido Imbens
Año,Física,Química,Fisiología o Medicina,Literatura,Paz,Premio en Ciencias Económicas en memoria de Alfred Nobel
